grp in,advid,count(),SQ,JDQ,full-conversion,billing-conversion
dplugin_theseus_iq_utility3,25636553,1,0,0,1,0
dplugin_theseus_iq_utility0,25636563,5,1,1,1,0
dplugin_theseus_iq_utility0,25636589,1,1,1,1,0
dplugin_theseus_iq_utility1,25636590,2,0,1,1,1
dplugin_theseus_iq_utility2,25636603,2,1,0,1,0
dplugin_theseus_iq_utility1,25636604,7,0,1,1,0
dplugin_theseus_iq_utility1,25636614,4,0,1,1,0
dplugin_theseus_iq_utility3,25636623,2,0,0,1,0
dplugin_theseus_iq_utility0,25636624,1,1,1,1,0
dplugin_theseus_iq_utility0,25636631,104,1,1,1,0
dplugin_theseus_iq_utility0,25636634,1,1,1,1,0
dplugin_theseus_iq_utility1,25636640,3,0,1,1,0
dplugin_theseus_iq_utility2,25636641,8,1,0,1,1
dplugin_theseus_iq_utility1,25636659,1,0,1,1,0
dplugin_theseus_iq_utility3,25636663,2,0,0,1,0
dplugin_theseus_iq_utility0,25636670,5,1,1,0,0
dplugin_theseus_iq_utility3,25636677,3,0,0,1,0
dplugin_theseus_iq_utility3,25636685,5,0,0,1,0
dplugin_theseus_iq_utility1,25636687,2,0,1,1,0
dplugin_theseus_iq_utility3,25636689,1,0,0,0,0
dplugin_theseus_iq_utility2,25636703,38,1,0,1,0
dplugin_theseus_iq_utility1,25636708,1,0,1,1,0
dplugin_theseus_iq_utility2,25636713,37,1,0,1,0
dplugin_theseus_iq_utility0,25636723,17,1,1,1,0
dplugin_theseus_iq_utility2,25636737,97,1,0,1,0
dplugin_theseus_iq_utility3,25636743,17,0,0,1,0
dplugin_theseus_iq_utility0,25636751,1,1,1,1,0
dplugin_theseus_iq_utility3,25636780,1,0,0,1,0
dplugin_theseus_iq_utility1,25636783,1,0,1,1,1
dplugin_theseus_iq_utility2,25636788,3,1,0,1,0
dplugin_theseus_iq_utility2,25636797,1,1,0,1,0
dplugin_theseus_iq_utility1,25636811,1,0,1,1,0
dplugin_theseus_iq_utility0,25636818,5,1,1,1,1
dplugin_theseus_iq_utility1,25636820,5,0,1,1,1
dplugin_theseus_iq_utility2,25636828,69,1,0,1,0
dplugin_theseus_iq_utility3,25636842,2,0,0,1,1
dplugin_theseus_iq_utility3,25636853,12,0,0,1,0
dplugin_theseus_iq_utility1,25636859,9,0,1,1,1
dplugin_theseus_iq_utility2,25636871,1,1,0,0,0
dplugin_theseus_iq_utility3,25636874,1,0,0,1,0
dplugin_theseus_iq_utility2,25636879,1,1,0,1,0
dplugin_theseus_iq_utility2,25636884,8,1,0,1,1
dplugin_theseus_iq_utility3,25636892,1,0,0,1,0
dplugin_theseus_iq_utility3,25636915,1,0,0,1,0
dplugin_theseus_iq_utility2,25636925,4,1,0,0,1
dplugin_theseus_iq_utility3,25636926,1,0,0,0,0
dplugin_theseus_iq_utility2,25636928,2,1,0,1,1
dplugin_theseus_iq_utility1,25636932,1,0,1,0,0
dplugin_theseus_iq_utility3,25636940,1,0,0,1,0
dplugin_theseus_iq_utility3,25636945,1,0,0,1,0
dplugin_theseus_iq_utility3,25636975,10,0,0,1,0
dplugin_theseus_iq_utility1,25636987,1,0,1,1,0
dplugin_theseus_iq_utility1,25636997,1,0,1,1,0
dplugin_theseus_iq_utility3,25637004,2,0,0,0,0
dplugin_theseus_iq_utility0,25637005,2,1,1,1,1
dplugin_theseus_iq_utility3,25637009,2,0,0,1,0
dplugin_theseus_iq_utility3,25637010,15,0,0,1,0
dplugin_theseus_iq_utility0,25637029,1,1,1,1,0
dplugin_theseus_iq_utility2,25637030,1,1,0,0,0
dplugin_theseus_iq_utility1,25637031,10,0,1,1,0
dplugin_theseus_iq_utility1,25637037,176,0,1,1,0
dplugin_theseus_iq_utility1,25637040,1,0,1,1,0
dplugin_theseus_iq_utility1,25637049,3,0,1,1,1
dplugin_theseus_iq_utility3,25637061,2,0,0,1,0
dplugin_theseus_iq_utility0,25637083,26,1,1,1,0
dplugin_theseus_iq_utility3,25637085,3,0,0,1,0
dplugin_theseus_iq_utility3,25637098,1,0,0,1,0
dplugin_theseus_iq_utility2,25637121,8,1,0,1,0
dplugin_theseus_iq_utility2,25637123,1,1,0,1,0
dplugin_theseus_iq_utility0,25637126,5,1,1,1,0
dplugin_theseus_iq_utility2,25637152,49,1,0,1,0
dplugin_theseus_iq_utility3,25637159,5,0,0,1,0
dplugin_theseus_iq_utility2,25637163,2,1,0,1,0
dplugin_theseus_iq_utility1,25637164,1,0,1,0,0
dplugin_theseus_iq_utility3,25637165,3,0,0,1,0
dplugin_theseus_iq_utility3,25637173,1,0,0,1,0
dplugin_theseus_iq_utility2,25637177,15,1,0,1,1
dplugin_theseus_iq_utility1,25637183,6,0,1,1,0
dplugin_theseus_iq_utility3,25637204,2,0,0,1,0
dplugin_theseus_iq_utility0,25637210,5,1,1,1,1
dplugin_theseus_iq_utility0,25637218,4,1,1,1,1
dplugin_theseus_iq_utility1,25637250,1,0,1,1,0
dplugin_theseus_iq_utility1,25637253,1,0,1,1,1
dplugin_theseus_iq_utility2,25637264,3,1,0,1,1
dplugin_theseus_iq_utility0,25637272,66,1,1,1,0
dplugin_theseus_iq_utility0,25637273,1,1,1,0,0
dplugin_theseus_iq_utility3,25637276,1,0,0,1,0
dplugin_theseus_iq_utility3,25637280,17,0,0,1,1
dplugin_theseus_iq_utility1,25637281,1,0,1,1,0
dplugin_theseus_iq_utility1,25637295,6,0,1,1,1
dplugin_theseus_iq_utility3,25637309,1,0,0,1,0
dplugin_theseus_iq_utility1,25637315,3,0,1,1,0
dplugin_theseus_iq_utility0,25637340,1,1,1,1,0
dplugin_theseus_iq_utility2,25637343,6,1,0,1,1
dplugin_theseus_iq_utility3,25637345,1,0,0,1,0
dplugin_theseus_iq_utility3,25637348,81,0,0,1,0
dplugin_theseus_iq_utility0,25637353,2,1,1,0,0
dplugin_theseus_iq_utility2,25637354,5,1,0,1,0
dplugin_theseus_iq_utility3,25637362,4,0,0,1,0
dplugin_theseus_iq_utility3,25637368,1,0,0,1,0
dplugin_theseus_iq_utility0,25637369,1,1,1,1,0
dplugin_theseus_iq_utility2,25637373,1,1,0,1,0
dplugin_theseus_iq_utility1,25637377,4,0,1,1,1
dplugin_theseus_iq_utility2,25637385,1,1,0,1,0
dplugin_theseus_iq_utility0,25637387,5,1,1,1,0
dplugin_theseus_iq_utility0,25637388,12,1,1,1,0
dplugin_theseus_iq_utility2,25637392,1,1,0,1,0
dplugin_theseus_iq_utility3,25637397,6,0,0,1,1
dplugin_theseus_iq_utility3,25637398,2,0,0,1,0
dplugin_theseus_iq_utility2,25637399,1,1,0,0,0
dplugin_theseus_iq_utility0,25637403,1,1,1,1,0
dplugin_theseus_iq_utility2,25637404,3,1,0,0,0
dplugin_theseus_iq_utility0,25637405,1,1,1,1,0
dplugin_theseus_iq_utility1,25637410,1,0,1,0,0
dplugin_theseus_iq_utility1,25637423,24,0,1,0,0
dplugin_theseus_iq_utility1,25637429,14,0,1,1,0
dplugin_theseus_iq_utility3,25637437,10,0,0,1,0
dplugin_theseus_iq_utility0,25637441,1,1,1,1,0
dplugin_theseus_iq_utility0,25637450,13,1,1,1,1
dplugin_theseus_iq_utility3,25637451,12,0,0,1,0
dplugin_theseus_iq_utility0,25637452,3,1,1,1,0
dplugin_theseus_iq_utility0,25637472,24,1,1,1,0
dplugin_theseus_iq_utility0,25637473,4,1,1,1,1
dplugin_theseus_iq_utility3,25637478,9,0,0,1,1
dplugin_theseus_iq_utility0,25637479,1,1,1,1,0
dplugin_theseus_iq_utility2,25637481,6,1,0,1,1
dplugin_theseus_iq_utility2,25637486,2,1,0,1,0
dplugin_theseus_iq_utility2,25637488,1,1,0,1,0
dplugin_theseus_iq_utility1,25637494,8,0,1,1,1
dplugin_theseus_iq_utility3,25637496,1,0,0,1,0
dplugin_theseus_iq_utility2,25637501,3,1,0,1,1
dplugin_theseus_iq_utility0,25637509,4,1,1,1,0
dplugin_theseus_iq_utility1,25637510,4,0,1,1,0
dplugin_theseus_iq_utility3,25637515,1,0,0,0,0
dplugin_theseus_iq_utility3,25637518,6,0,0,1,0
dplugin_theseus_iq_utility1,25637519,7,0,1,1,0
dplugin_theseus_iq_utility3,25637531,3,0,0,1,0
dplugin_theseus_iq_utility3,25637559,2,0,0,1,1
dplugin_theseus_iq_utility1,25637575,6,0,1,1,0
dplugin_theseus_iq_utility3,25637576,1,0,0,1,0
dplugin_theseus_iq_utility2,25637580,1,1,0,1,0
dplugin_theseus_iq_utility0,25637581,1,1,1,1,0
dplugin_theseus_iq_utility1,25637587,2,0,1,0,0
dplugin_theseus_iq_utility1,25637589,6,0,1,1,0
dplugin_theseus_iq_utility2,25637591,4,1,0,1,0
dplugin_theseus_iq_utility3,25637598,6,0,0,1,1
dplugin_theseus_iq_utility3,25637599,27,0,0,1,0
dplugin_theseus_iq_utility3,25637609,6,0,0,1,0
dplugin_theseus_iq_utility2,25637615,1,1,0,1,0
dplugin_theseus_iq_utility1,25637619,3,0,1,1,1
dplugin_theseus_iq_utility0,25637626,1,1,1,1,0
dplugin_theseus_iq_utility0,25637643,9,1,1,1,0
dplugin_theseus_iq_utility3,25637644,1,0,0,0,0
dplugin_theseus_iq_utility1,25637650,3,0,1,1,0
dplugin_theseus_iq_utility1,25637666,20,0,1,1,1
dplugin_theseus_iq_utility3,25637669,6,0,0,1,0
dplugin_theseus_iq_utility3,25637680,1,0,0,1,0
dplugin_theseus_iq_utility2,25637705,2,1,0,1,1
dplugin_theseus_iq_utility2,25637708,6,1,0,1,0
dplugin_theseus_iq_utility3,25637726,13,0,0,1,1
dplugin_theseus_iq_utility3,25637738,11,0,0,1,1
dplugin_theseus_iq_utility2,25637745,8,1,0,1,0
dplugin_theseus_iq_utility1,25637751,1,0,1,0,0
dplugin_theseus_iq_utility2,25637761,1,1,0,1,0
dplugin_theseus_iq_utility0,25637782,3,1,1,1,0
dplugin_theseus_iq_utility1,25637794,2,0,1,1,0
dplugin_theseus_iq_utility0,25637795,1,1,1,1,0
dplugin_theseus_iq_utility3,25637808,5,0,0,1,0
dplugin_theseus_iq_utility1,25637822,3,0,1,1,1
dplugin_theseus_iq_utility2,25637823,1,1,0,1,0
dplugin_theseus_iq_utility1,25637827,4,0,1,1,0
dplugin_theseus_iq_utility1,25637832,5,0,1,1,1
dplugin_theseus_iq_utility0,25637835,7,1,1,1,1
dplugin_theseus_iq_utility1,25637836,1,0,1,1,0
dplugin_theseus_iq_utility0,25637849,2,1,1,1,0
dplugin_theseus_iq_utility0,25637859,6,1,1,1,1
dplugin_theseus_iq_utility3,25637867,1,0,0,1,0
dplugin_theseus_iq_utility2,25637868,24,1,0,1,1
dplugin_theseus_iq_utility2,25637881,3,1,0,1,0
dplugin_theseus_iq_utility2,25637882,2,1,0,1,0
dplugin_theseus_iq_utility1,25637883,5,0,1,1,0
dplugin_theseus_iq_utility2,25637890,10,1,0,1,0
dplugin_theseus_iq_utility0,25637891,15,1,1,1,1
dplugin_theseus_iq_utility1,25637894,5,0,1,1,0
dplugin_theseus_iq_utility1,25637896,3,0,1,1,0
dplugin_theseus_iq_utility1,25637898,10,0,1,1,0
dplugin_theseus_iq_utility3,25637905,3,0,0,1,0
dplugin_theseus_iq_utility1,25637909,3,0,1,1,1
dplugin_theseus_iq_utility2,25637918,6,1,0,1,1
dplugin_theseus_iq_utility2,25637931,1,1,0,1,0
dplugin_theseus_iq_utility2,25637936,1,1,0,0,0
dplugin_theseus_iq_utility2,25637945,5,1,0,1,1
dplugin_theseus_iq_utility2,25637954,3,1,0,1,0
dplugin_theseus_iq_utility3,25637968,13,0,0,1,0
dplugin_theseus_iq_utility1,25637971,2,0,1,0,0
dplugin_theseus_iq_utility1,25637981,21,0,1,1,0
dplugin_theseus_iq_utility1,25637990,5,0,1,1,0
dplugin_theseus_iq_utility0,25637999,3,1,1,1,1
dplugin_theseus_iq_utility2,25638007,4,1,0,1,1
dplugin_theseus_iq_utility1,25638008,1,0,1,1,0
dplugin_theseus_iq_utility0,25638019,4,1,1,1,0
dplugin_theseus_iq_utility0,25638025,20,1,1,1,0
dplugin_theseus_iq_utility3,25638027,29,0,0,1,0
dplugin_theseus_iq_utility3,25638031,15,0,0,1,1
dplugin_theseus_iq_utility3,25638032,13,0,0,1,0
dplugin_theseus_iq_utility3,25638035,1,0,0,1,0
dplugin_theseus_iq_utility0,25638037,1,1,1,0,0
dplugin_theseus_iq_utility2,25638041,4,1,0,1,0
dplugin_theseus_iq_utility0,25638042,1,1,1,0,0
dplugin_theseus_iq_utility1,25638051,16,0,1,1,0
dplugin_theseus_iq_utility1,25638070,1,0,1,1,0
dplugin_theseus_iq_utility3,25638074,2,0,0,0,0
dplugin_theseus_iq_utility2,25638077,14,1,0,1,0
dplugin_theseus_iq_utility2,25638093,1,1,0,1,0
dplugin_theseus_iq_utility2,25638094,2,1,0,1,0
dplugin_theseus_iq_utility2,25638100,1,1,0,1,1
dplugin_theseus_iq_utility3,25638114,8,0,0,1,0
dplugin_theseus_iq_utility1,25638115,2,0,1,1,0
dplugin_theseus_iq_utility3,25638119,9,0,0,1,0
dplugin_theseus_iq_utility2,25638121,13,1,0,1,0
dplugin_theseus_iq_utility2,25638131,1,1,0,1,0
dplugin_theseus_iq_utility0,25638135,10,1,1,1,0
dplugin_theseus_iq_utility1,25638142,2,0,1,1,1
dplugin_theseus_iq_utility2,25638144,6,1,0,1,0
dplugin_theseus_iq_utility3,25638148,9,0,0,0,0
dplugin_theseus_iq_utility0,25638159,1,1,1,1,0
dplugin_theseus_iq_utility1,25638167,18,0,1,1,0
dplugin_theseus_iq_utility1,25638168,1,0,1,1,0
dplugin_theseus_iq_utility1,25638169,4,0,1,1,0
dplugin_theseus_iq_utility2,25638170,2,1,0,1,0
dplugin_theseus_iq_utility0,25638178,3,1,1,1,1
dplugin_theseus_iq_utility2,25638181,3,1,0,1,1
dplugin_theseus_iq_utility1,25638191,1,0,1,1,1
dplugin_theseus_iq_utility0,25638200,1,1,1,0,0
dplugin_theseus_iq_utility0,25638212,1,1,1,1,1
dplugin_theseus_iq_utility2,25638220,2,1,0,1,0
dplugin_theseus_iq_utility2,25638225,1,1,0,1,0
dplugin_theseus_iq_utility0,25638243,2,1,1,1,0
dplugin_theseus_iq_utility3,25638257,16,0,0,1,0
dplugin_theseus_iq_utility3,25638265,3,0,0,1,0
dplugin_theseus_iq_utility3,25638281,16,0,0,1,0
dplugin_theseus_iq_utility2,25638283,2,1,0,1,0
dplugin_theseus_iq_utility3,25638286,1,0,0,1,1
dplugin_theseus_iq_utility3,25638287,12,0,0,1,0
dplugin_theseus_iq_utility3,25638289,7,0,0,1,1
dplugin_theseus_iq_utility1,25638294,1,0,1,1,0
dplugin_theseus_iq_utility2,25638298,13,1,0,1,0
dplugin_theseus_iq_utility3,25638301,23,0,0,1,1
dplugin_theseus_iq_utility0,25638304,1,1,1,1,0
dplugin_theseus_iq_utility1,25638310,1,0,1,1,1
dplugin_theseus_iq_utility1,25638318,4,0,1,1,1
dplugin_theseus_iq_utility0,25638319,1,1,1,1,1
dplugin_theseus_iq_utility2,25638320,7,1,0,1,0
dplugin_theseus_iq_utility3,25638330,1,0,0,0,0
dplugin_theseus_iq_utility0,25638331,12,1,1,0,0
dplugin_theseus_iq_utility3,25638340,45,0,0,1,1
dplugin_theseus_iq_utility2,25638358,8,1,0,1,0
dplugin_theseus_iq_utility0,25638369,3,1,1,1,0
dplugin_theseus_iq_utility1,25638390,5,0,1,1,0
dplugin_theseus_iq_utility0,25638392,2,1,1,1,1
dplugin_theseus_iq_utility2,25638413,1,1,0,1,0
dplugin_theseus_iq_utility1,25638416,8,0,1,1,1
dplugin_theseus_iq_utility1,25638417,2,0,1,1,0
dplugin_theseus_iq_utility2,25638418,3,1,0,1,0
dplugin_theseus_iq_utility1,25638421,13,0,1,1,1
dplugin_theseus_iq_utility3,25638427,2,0,0,1,0
dplugin_theseus_iq_utility0,25638441,3,1,1,1,0
dplugin_theseus_iq_utility2,25638448,11,1,0,1,0
dplugin_theseus_iq_utility3,25638449,3,0,0,1,1
dplugin_theseus_iq_utility2,25638474,3,1,0,1,0
dplugin_theseus_iq_utility0,25638477,1,1,1,0,0
dplugin_theseus_iq_utility1,25638484,36,0,1,1,1
dplugin_theseus_iq_utility0,25638486,6,1,1,1,0
dplugin_theseus_iq_utility1,25638489,1,0,1,1,0
dplugin_theseus_iq_utility1,25638496,1,0,1,0,0
dplugin_theseus_iq_utility1,25638506,3,0,1,1,0
dplugin_theseus_iq_utility3,25638507,15,0,0,1,0
dplugin_theseus_iq_utility0,25638508,1,1,1,1,0
dplugin_theseus_iq_utility2,25638532,1,1,0,1,1
dplugin_theseus_iq_utility0,25638536,7,1,1,1,0
dplugin_theseus_iq_utility3,25638539,5,0,0,1,0
dplugin_theseus_iq_utility2,25638542,6,1,0,1,1
dplugin_theseus_iq_utility3,25638556,5,0,0,1,0
dplugin_theseus_iq_utility2,25638575,6,1,0,1,0
dplugin_theseus_iq_utility0,25638585,15,1,1,1,0
dplugin_theseus_iq_utility2,25638587,1,1,0,1,0
dplugin_theseus_iq_utility3,25638595,1,0,0,1,1
dplugin_theseus_iq_utility3,25638596,1,0,0,1,0
dplugin_theseus_iq_utility2,25638601,1,1,0,1,0
dplugin_theseus_iq_utility1,25638602,2,0,1,1,0
dplugin_theseus_iq_utility2,25638606,5,1,0,1,1
dplugin_theseus_iq_utility1,25638610,12,0,1,1,1
dplugin_theseus_iq_utility1,25638615,1,0,1,1,0
dplugin_theseus_iq_utility3,25638618,3,0,0,1,1
dplugin_theseus_iq_utility1,25638621,18,0,1,1,1
dplugin_theseus_iq_utility3,25638622,6,0,0,1,0
dplugin_theseus_iq_utility1,25638627,4,0,1,1,0
dplugin_theseus_iq_utility0,25638632,4,1,1,1,1
dplugin_theseus_iq_utility2,25638633,7,1,0,1,0
dplugin_theseus_iq_utility1,25638641,2,0,1,1,0
dplugin_theseus_iq_utility1,25638644,1,0,1,1,0
dplugin_theseus_iq_utility0,25638649,1,1,1,1,0
dplugin_theseus_iq_utility1,25638661,3,0,1,1,0
dplugin_theseus_iq_utility2,25638665,2,1,0,0,0
dplugin_theseus_iq_utility1,25638674,2,0,1,0,0
dplugin_theseus_iq_utility0,25638679,1,1,1,1,0
dplugin_theseus_iq_utility1,25638689,60,0,1,1,0
dplugin_theseus_iq_utility1,25638696,1,0,1,1,0
dplugin_theseus_iq_utility1,25638698,8,0,1,1,0
dplugin_theseus_iq_utility2,25638702,18,1,0,1,1
dplugin_theseus_iq_utility1,25638706,1,0,1,1,0
dplugin_theseus_iq_utility0,25638719,1,1,1,1,0
dplugin_theseus_iq_utility1,25638735,2,0,1,1,0
dplugin_theseus_iq_utility0,25638741,5,1,1,1,0
dplugin_theseus_iq_utility3,25638747,1,0,0,1,0
dplugin_theseus_iq_utility0,25638778,10,1,1,1,0
dplugin_theseus_iq_utility2,25638784,2,1,0,1,1
dplugin_theseus_iq_utility0,25638787,25,1,1,1,0
dplugin_theseus_iq_utility1,25638797,2,0,1,1,1
dplugin_theseus_iq_utility3,25638799,9,0,0,1,1
dplugin_theseus_iq_utility2,25638801,6,1,0,1,0
dplugin_theseus_iq_utility3,25638803,3,0,0,1,0
dplugin_theseus_iq_utility1,25638807,12,0,1,1,0
dplugin_theseus_iq_utility2,25638808,1,1,0,1,1
dplugin_theseus_iq_utility1,25638810,1,0,1,1,0
dplugin_theseus_iq_utility0,25638817,3,1,1,1,1
dplugin_theseus_iq_utility2,25638820,4,1,0,1,0
dplugin_theseus_iq_utility2,25638821,90,1,0,1,0
dplugin_theseus_iq_utility0,25638822,1,1,1,0,0
dplugin_theseus_iq_utility0,25638827,1,1,1,1,0
dplugin_theseus_iq_utility1,25638832,2,0,1,1,0
dplugin_theseus_iq_utility1,25638835,9,0,1,1,0
dplugin_theseus_iq_utility0,25638861,1,1,1,1,0
dplugin_theseus_iq_utility1,25638865,5,0,1,1,1
dplugin_theseus_iq_utility0,25638880,3,1,1,1,1
dplugin_theseus_iq_utility1,25638883,2,0,1,1,0
dplugin_theseus_iq_utility1,25638888,2,0,1,1,0
dplugin_theseus_iq_utility1,25638896,4,0,1,0,0
dplugin_theseus_iq_utility3,25638901,1,0,0,1,0
dplugin_theseus_iq_utility3,25638908,2,0,0,1,0
dplugin_theseus_iq_utility2,25638909,9,1,0,1,0
dplugin_theseus_iq_utility1,25638912,22,0,1,1,0
dplugin_theseus_iq_utility3,25638921,3,0,0,1,0
dplugin_theseus_iq_utility2,25638932,2,1,0,1,0
dplugin_theseus_iq_utility0,25638938,6,1,1,1,1
dplugin_theseus_iq_utility0,25638943,9,1,1,1,0
dplugin_theseus_iq_utility3,25638945,6,0,0,1,1
dplugin_theseus_iq_utility3,25638953,2,0,0,1,0
dplugin_theseus_iq_utility3,25638970,1,0,0,0,0
dplugin_theseus_iq_utility2,25638974,1,1,0,1,0
dplugin_theseus_iq_utility3,25638980,1,0,0,1,0
dplugin_theseus_iq_utility0,25638986,5,1,1,1,0
dplugin_theseus_iq_utility0,25638991,1,1,1,1,0
dplugin_theseus_iq_utility2,25638997,2,1,0,1,1
dplugin_theseus_iq_utility1,25639005,2,0,1,0,0
dplugin_theseus_iq_utility2,25639010,24,1,0,1,0
dplugin_theseus_iq_utility2,25639013,2,1,0,1,0
dplugin_theseus_iq_utility3,25639014,2,0,0,1,0
dplugin_theseus_iq_utility2,25639018,2,1,0,1,0
dplugin_theseus_iq_utility1,25639022,7,0,1,1,0
dplugin_theseus_iq_utility3,25639034,38,0,0,1,0
dplugin_theseus_iq_utility1,25639035,2,0,1,1,0
dplugin_theseus_iq_utility2,25639044,1,1,0,1,0
dplugin_theseus_iq_utility0,25639052,18,1,1,1,1
dplugin_theseus_iq_utility2,25639069,1,1,0,1,0
dplugin_theseus_iq_utility2,25639074,16,1,0,1,1
dplugin_theseus_iq_utility2,25639077,15,1,0,1,0
dplugin_theseus_iq_utility1,25639078,1,0,1,1,0
dplugin_theseus_iq_utility3,25639080,3,0,0,1,0
dplugin_theseus_iq_utility3,25639105,1,0,0,1,0
dplugin_theseus_iq_utility1,25639119,1,0,1,1,0
dplugin_theseus_iq_utility2,25639123,1,1,0,1,0
dplugin_theseus_iq_utility3,25639126,14,0,0,1,0
dplugin_theseus_iq_utility3,25639129,1,0,0,1,0
dplugin_theseus_iq_utility0,25639131,7,1,1,1,0
dplugin_theseus_iq_utility3,25639137,6,0,0,1,0
dplugin_theseus_iq_utility1,25639141,2,0,1,1,0
dplugin_theseus_iq_utility1,25639142,10,0,1,1,0
dplugin_theseus_iq_utility1,25639144,1,0,1,1,0
dplugin_theseus_iq_utility0,25639146,31,1,1,1,0
dplugin_theseus_iq_utility0,25639148,1,1,1,1,0
dplugin_theseus_iq_utility0,25639167,1,1,1,1,0
dplugin_theseus_iq_utility2,25639168,1,1,0,1,0
dplugin_theseus_iq_utility3,25639171,2,0,0,1,0
dplugin_theseus_iq_utility0,25639183,1,1,1,1,0
dplugin_theseus_iq_utility0,25639186,2,1,1,1,0
dplugin_theseus_iq_utility3,25639201,17,0,0,1,0
dplugin_theseus_iq_utility3,25639222,3,0,0,1,0
dplugin_theseus_iq_utility1,25639227,1,0,1,1,0
dplugin_theseus_iq_utility2,25639245,12,1,0,1,0
dplugin_theseus_iq_utility1,25639251,5,0,1,1,0
dplugin_theseus_iq_utility3,25639261,2,0,0,1,0
dplugin_theseus_iq_utility1,25639264,1,0,1,1,0
dplugin_theseus_iq_utility3,25639272,3,0,0,1,0
dplugin_theseus_iq_utility2,25639281,8,1,0,1,0
dplugin_theseus_iq_utility1,25639284,22,0,1,1,0
dplugin_theseus_iq_utility3,25639285,3,0,0,1,1
dplugin_theseus_iq_utility1,25639286,5,0,1,1,0
dplugin_theseus_iq_utility2,25639293,1,1,0,1,0
dplugin_theseus_iq_utility1,25639307,3,0,1,1,1
dplugin_theseus_iq_utility2,25639311,2,1,0,1,0
dplugin_theseus_iq_utility0,25639316,9,1,1,1,0
dplugin_theseus_iq_utility2,25639325,16,1,0,1,0
dplugin_theseus_iq_utility0,25639328,7,1,1,1,0
dplugin_theseus_iq_utility3,25639329,3,0,0,1,0
dplugin_theseus_iq_utility1,25639347,1,0,1,1,0
dplugin_theseus_iq_utility0,25639351,6,1,1,1,1
dplugin_theseus_iq_utility2,25639352,2,1,0,1,0
dplugin_theseus_iq_utility3,25639354,57,0,0,1,0
dplugin_theseus_iq_utility3,25639357,1,0,0,1,0
dplugin_theseus_iq_utility1,25639369,5,0,1,1,0
dplugin_theseus_iq_utility2,25639377,4,1,0,1,0
dplugin_theseus_iq_utility0,25639379,7,1,1,1,0
dplugin_theseus_iq_utility1,25639395,20,0,1,1,0
dplugin_theseus_iq_utility1,25639422,2,0,1,1,0
dplugin_theseus_iq_utility1,25639424,1,0,1,1,0
dplugin_theseus_iq_utility1,25639426,1,0,1,1,0
dplugin_theseus_iq_utility2,25639432,4,1,0,1,0
dplugin_theseus_iq_utility1,25639434,1,0,1,0,0
dplugin_theseus_iq_utility2,25639440,3,1,0,1,0
dplugin_theseus_iq_utility2,25639443,3,1,0,1,0
dplugin_theseus_iq_utility0,25639444,2,1,1,1,0
dplugin_theseus_iq_utility0,25639451,1,1,1,1,0
dplugin_theseus_iq_utility2,25639454,81,1,0,1,1
dplugin_theseus_iq_utility0,25639468,2,1,1,1,0
dplugin_theseus_iq_utility2,25639474,1,1,0,1,0
dplugin_theseus_iq_utility3,25639489,13,0,0,1,0
dplugin_theseus_iq_utility1,25639505,1,0,1,1,0
dplugin_theseus_iq_utility2,25639518,1,1,0,1,0
dplugin_theseus_iq_utility1,25639520,1,0,1,1,0
dplugin_theseus_iq_utility2,25639522,1,1,0,0,0
dplugin_theseus_iq_utility0,25639524,3,1,1,1,0
dplugin_theseus_iq_utility3,25639528,3,0,0,1,0
dplugin_theseus_iq_utility2,25639534,15,1,0,1,0
dplugin_theseus_iq_utility3,25639536,3,0,0,0,0
dplugin_theseus_iq_utility0,25639540,2,1,1,1,0
dplugin_theseus_iq_utility2,25639541,1,1,0,0,0
dplugin_theseus_iq_utility3,25639545,1,0,0,1,0
dplugin_theseus_iq_utility0,25639548,25,1,1,1,0
dplugin_theseus_iq_utility3,25639549,6,0,0,1,0
dplugin_theseus_iq_utility3,25639553,8,0,0,1,0
dplugin_theseus_iq_utility3,25639554,2,0,0,1,0
dplugin_theseus_iq_utility2,25639560,2,1,0,1,0
dplugin_theseus_iq_utility0,25639561,11,1,1,1,0
dplugin_theseus_iq_utility2,25639573,3,1,0,1,0
dplugin_theseus_iq_utility0,25639583,12,1,1,1,0
dplugin_theseus_iq_utility1,25639609,1,0,1,1,0
dplugin_theseus_iq_utility2,25639610,5,1,0,1,1
dplugin_theseus_iq_utility3,25639613,1,0,0,1,0
dplugin_theseus_iq_utility3,25639618,15,0,0,1,0
dplugin_theseus_iq_utility3,25639637,8,0,0,1,1
dplugin_theseus_iq_utility2,25639641,2,1,0,1,1
dplugin_theseus_iq_utility0,25639644,2,1,1,1,0
dplugin_theseus_iq_utility1,25639647,1,0,1,1,0
dplugin_theseus_iq_utility0,25639652,1,1,1,1,1
dplugin_theseus_iq_utility3,25639654,2,0,0,1,1
dplugin_theseus_iq_utility3,25639656,37,0,0,1,0
dplugin_theseus_iq_utility2,25639660,1,1,0,0,0
dplugin_theseus_iq_utility0,25639668,1,1,1,1,1
dplugin_theseus_iq_utility3,25639669,1,0,0,1,0
dplugin_theseus_iq_utility0,25639679,25,1,1,1,1
dplugin_theseus_iq_utility1,25639682,6,0,1,1,0
dplugin_theseus_iq_utility1,25639694,6,0,1,1,0
dplugin_theseus_iq_utility2,25639698,1,1,0,1,0
dplugin_theseus_iq_utility1,25639706,2,0,1,1,0
